MATCH_DATE,IDENTITY_CODE,TEAM_1,GROUND,TEAM_2,WINNER_INNING,WINNER,HOST_COUNTRY
"Jul 28, 2013",ODI # 3399,Zimbabwe,Harare,India,Winner2ndInning,India,Zimbabwe
"Aug 1, 2013",ODI # 3402,Zimbabwe,Bulawayo,India,Winner2ndInning,India,Zimbabwe
"Aug 3, 2013",ODI # 3403,Zimbabwe,Bulawayo,India,Winner2ndInning,India,Zimbabwe
"Oct 13, 2013",ODI # 3419,Australia,Pune,India,Winner1stInning,Australia,India
"Oct 16, 2013",ODI # 3420,Australia,Jaipur,India,Winner2ndInning,India,India
"Oct 19, 2013",ODI # 3421,Australia,Mohali,India,Winner2ndInning,Australia,
"Oct 30, 2013",ODI # 3424,Australia,Nagpur,India,Winner2ndInning,India,India
"Nov 2, 2013",ODI # 3428,Australia,Bengaluru,India,Winner1stInning,India,India
"Nov 21, 2013",ODI # 3436,West Indies,Kochi,India,Winner2ndInning,India,India
"Nov 24, 2013",ODI # 3437,West Indies,Visakhapatnam,India,Winner2ndInning,West Indies,India
"Nov 27, 2013",ODI # 3439,West Indies,Kanpur,India,Winner2ndInning,India,India
"Dec 5, 2013",ODI # 3442,South Africa,Johannesburg,India,Winner1stInning,South Africa,South Africa
"Dec 8, 2013",ODI # 3443,South Africa,Durban,India,Winner1stInning,South Africa,South Africa
"Jan 19, 2014",ODI # 3456,New Zealand,Napier,India,Winner1stInning,New Zealand,New Zealand
"Jan 22, 2014",ODI # 3458,New Zealand,Hamilton,India,Winner1stInning,New Zealand,New Zealand
"Jan 28, 2014",ODI # 3465,New Zealand,Hamilton,India,Winner2ndInning,New Zealand,New Zealand
"Jan 31, 2014",ODI # 3467,New Zealand,Wellington,India,Winner1stInning,New Zealand,New Zealand
"Feb 26, 2014",ODI # 3474,Bangladesh,Fatullah,India,Winner2ndInning,India,Bangladesh
"Feb 28, 2014",ODI # 3476,Sri Lanka,Fatullah,India,Winner2ndInning,Sri Lanka,Bangladesh
"Mar 2, 2014",ODI # 3479,Pakistan,Dhaka,India,Winner2ndInning,Pakistan,Bangladesh
"Mar 5, 2014",ODI # 3483,Afghanistan,Dhaka,India,Winner2ndInning,India,Bangladesh
"Jun 15, 2014",ODI # 3497,Bangladesh,Dhaka,India,Winner2ndInning,India,Bangladesh
"Jun 17, 2014",ODI # 3498,Bangladesh,Dhaka,India,Winner1stInning,India,Bangladesh
"Aug 27, 2014",ODI # 3517,England,Cardiff,India,Winner1stInning,India,England
"Aug 30, 2014",ODI # 3520,England,Nottingham,India,Winner2ndInning,India,England
"Sep 2, 2014",ODI # 3523,England,Birmingham,India,Winner2ndInning,India,England
"Sep 5, 2014",ODI # 3525,England,Leeds,India,Winner1stInning,England,England
"Oct 8, 2014",ODI # 3531,West Indies,Kochi,India,Winner1stInning,West Indies,India
"Oct 11, 2014",ODI # 3533,West Indies,Delhi,India,Winner1stInning,India,India
"Oct 17, 2014",ODI # 3535,West Indies,Dharamsala,India,Winner1stInning,India,India
"Nov 2, 2014",ODI # 3539,Sri Lanka,Cuttack,India,Winner1stInning,India,India
"Nov 6, 2014",ODI # 3540,Sri Lanka,Ahmedabad,India,Winner2ndInning,India,India
"Nov 9, 2014",ODI # 3543,Sri Lanka,Hyderabad,India,Winner2ndInning,India,India
"Nov 13, 2014",ODI # 3544,Sri Lanka,Kolkata,India,Winner1stInning,India,India
"Nov 16, 2014",ODI # 3547,Sri Lanka,Ranchi,India,Winner2ndInning,India,India
"Jan 18, 2015",ODI # 3582,Australia,Melbourne,India,Winner2ndInning,Australia,Australia
"Jan 20, 2015",ODI # 3586,England,Brisbane,India,Winner2ndInning,England,Australia
"Jan 30, 2015",ODI # 3595,England,Perth,India,Winner2ndInning,England,Australia
"Feb 15, 2015",ODI # 3602,Pakistan,Adelaide,India,Winner1stInning,India,Australia
